,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
140,Philz Coffee,akXf1BdFZjQb2fO8Ca7FtA,San Francisco,CA,Coffee & Tea,37.752397102831,-122.41426366546,$,1665,4.5
141,Schubert's Bakery,DyXoC_NhJW0Xx5j_OPQRHQ,San Francisco,CA,Bakeries,37.78267,-122.46493,$$,1653,4.5
142,Alcatraz Island,Y12NJdzfE-33OQtoHmomMw,San Francisco,CA,Museums,37.8269684873863,-122.422947920859,0,1667,4.5
143,Golden Gate Park,KIVq5BlJKTipwtB3NATX0g,San Francisco,CA,Parks,37.770518,-122.479878,0,1167,4.5
144,HRD,bUr4iq2mKKiBOu2HKynylg,San Francisco,CA,Korean,37.7811065758548,-122.395329724426,$$,2473,4.0
145,Anthony's Cookies,PrlH7YcQ22m9DyuWbxJjMA,San Francisco,CA,Bakeries,37.7502,-122.42013,$,1654,4.5
146,Arsicault Bakery,1U9_ZNruMLf4EL0pMoxb_w,San Francisco,CA,Bakeries,37.783429,-122.459307,$$,1089,4.5
147,Marrakech Magic Theater,bqSZc4Xh2o253DZXr5QOmg,San Francisco,CA,Comedy Clubs,37.7859712382638,-122.411803969896,$$,903,5.0
148,Swan Oyster Depot,eI0DpD2Xx8hFlk7eAdFCqQ,San Francisco,CA,Seafood,37.790939,-122.420796,$$,2709,4.0
149,Marco Polo Italian Ice Cream,RrIduU6-SUNCanTEVF-hIQ,San Francisco,CA,Ice Cream & Frozen Yogurt,37.7426223,-122.481885,$,1431,4.5
150,Tartine Bakery & Cafe,ri7UUYmx21AgSpRsf4-9QA,San Francisco,CA,Bakeries,37.7614250022004,-122.424051321456,$$,7768,4.0
151,Hog Island Oyster Co,Xg-FyjVKAN70LO4u4Z1ozg,San Francisco,CA,Seafood,37.795831,-122.393303,$$,5819,4.5
152,Mitchell's Ice Cream,76smcUUGRvq3k1MVPUXbnA,San Francisco,CA,Ice Cream & Frozen Yogurt,37.7442315,-122.422816,$,3885,4.5
153,House of Prime Rib,oT08T3Vpn1I7jDmrBBRMTw,San Francisco,CA,American (Traditional),37.79338,-122.4225,$$$,6966,4.0
154,Burma Superstar,eYXwVR4mMAjzkJnm5wneHQ,San Francisco,CA,Burmese,37.782787322998,-122.462539672852,$$,6656,4.0
155,The House,ZoZjbOYR-apY8XvommlNUA,San Francisco,CA,Asian Fusion,37.79851,-122.40706,$$$,4709,4.5
156,Kokkari Estiatorio,PsY5DMHxa5iNX_nX0T-qPA,San Francisco,CA,Greek,37.796996,-122.399661,$$$,4437,4.5
157,San Tung,M0JTO3oyu6gxh1mfFjU-dA,San Francisco,CA,Chinese,37.763693,-122.469008,$$,6668,4.0
158,B Patisserie,2XQm-uFcTS7oc8MFP-8olA,San Francisco,CA,Bakeries,37.78783,-122.44073,$$,2410,4.5
159,Nopa,ttarnopezxmp2ROB1N2PaA,San Francisco,CA,American (New),37.77483,-122.43746,$$$,5012,4.0
160,El Farolito,SGRmnarrNuVEsAjYdEoA0w,San Francisco,CA,Mexican,37.75265,-122.41812,$,4802,4.0
161,Fog Harbor Fish House,f-m7-hyFzkf0HSEeQ2s-9A,San Francisco,CA,Seafood,37.809041,-122.410233,$$,5703,4.0
162,Zazie,gqVl3RprESEqkIPeJH0yOg,San Francisco,CA,Breakfast & Brunch,37.765244,-122.4501138,$$,4303,4.0
163,Saigon Sandwich,hqQoVK0vadOX7_4gN1sh3g,San Francisco,CA,Vietnamese,37.7831519576568,-122.417318022037,$,3200,4.5
164,Sweet Maple,-DrR38H1Abk0wCyu9XOLug,San Francisco,CA,American (Traditional),37.785735681426,-122.43507770852,$$,3527,4.0
165,Golden Boy Pizza,PTFxtXS47ZVRCdZIrEWvGw,San Francisco,CA,Pizza,37.7997956,-122.4080729,$,3406,4.5
166,Liholiho Yacht Club,KkAVX3Wb7E3lP5F_f_8pXg,San Francisco,CA,Bars,37.78818,-122.41458,$$$,2264,4.5
167,Tony's Pizza Napoletana,mSMZJj2pFvttWLpcDmgrEA,San Francisco,CA,Pizza,37.8003315377662,-122.409053979377,$$,4862,4.0
168,Sotto Mare Oysteria & Seafood,8dUaybEPHsZMgr1iKgqgMQ,San Francisco,CA,Seafood,37.79979,-122.40834,$$,3600,4.5
169,Foreign Cinema,n6L5VIGunR51-D55C-eYeQ,San Francisco,CA,Breakfast & Brunch,37.75637,-122.41925,$$$,4758,4.0
170,Golden Gate Bakery,m3xdxV8YNH5uh1N01xdnLA,San Francisco,CA,Bakeries,37.79633,-122.40703,$,3323,4.5
171,Marufuku Ramen SF,HHtpR0RslupSQ99GIIwW5A,San Francisco,CA,Ramen,37.785155,-122.432075,$$,2567,4.5
172,Little Star Pizza,__I9HmtBMV4dDkEgT22V4g,San Francisco,CA,Pizza,37.77753,-122.43798,$$,2853,4.5
173,Mama's On Washington Square,MvAo0hj9FXOeNL5PwBZ0fQ,San Francisco,CA,Breakfast & Brunch,37.801606,-122.409599,$$,4179,4.0
174,Chapeau!,L5vSeC_sa3TUQW_lticqyA,San Francisco,CA,French,37.78327,-122.46066,$$$,2674,4.5
175,Humphry Slocombe Ice Cream,47OC_X6KkiDDQ4jwoCUjFg,San Francisco,CA,Ice Cream & Frozen Yogurt,37.75279,-122.4122,$,3351,4.0
176,The Codmother Fish & Chips,PDhfVvcVXgBinZf5I6s1KQ,San Francisco,CA,British,37.8072702557489,-122.417093771758,$$,2918,4.5
177,La Taqueria,JARsJVKLPgs_yC3cwDnp7g,San Francisco,CA,Mexican,37.75088,-122.41805,$,3953,4.0
178,Bob's Donut & Pastry Shop,GXu3PD4IPsxIHpo011aydg,San Francisco,CA,Bakeries,37.79185,-122.42128,$,2916,4.5
179,Golden Gate Bridge,Lz7ydUVmsr2DekT9enEhvw,San Francisco,CA,Landmarks & Historical Buildings,37.8165970086601,-122.47807463501,0,1836,4.5
180,Twin Peaks,WV2fVK6OJfzn2BkRGpbP7A,San Francisco,CA,Parks,37.7521564122127,-122.447519302368,0,1111,4.5
181,State Bird Provisions,QZQGRJZ4bZCmNoXjs3z1XQ,San Francisco,CA,Tapas/Small Plates,37.78374,-122.433005,$$$,2683,4.0
182,Arizmendi Bakery,xDwEMq8kgT0eQepn90Jkvg,San Francisco,CA,Bakeries,37.7633882,-122.4664991,$,1897,4.5
183,Espetus Brazilian Steak House,ciEDsTWhajcdL3KuJqBRlw,San Francisco,CA,Steakhouses,37.7733327504928,-122.422131667494,$$$,3350,4.0
184,Mission Dolores Park,Tf_27JvnneEx0Tz79UwShg,San Francisco,CA,Parks,37.759764,-122.427052,0,1445,4.5
185,Dottie's True Blue Cafe,uEeWn6sPq-giWvfE9uhQ7A,San Francisco,CA,American (Traditional),37.7817050429594,-122.409839630127,$$,4427,4.0
186,Kitchen Story,XQLmEdXoMzOpffwoFaBtaQ,San Francisco,CA,Breakfast & Brunch,37.7642352,-122.4306936,$$,3168,4.0
187,Beretta,4KfQnlcSu4bbTqnvGdGptw,San Francisco,CA,Italian,37.75384,-122.42055,$$,3528,4.0
188,Suppenküche,DGyoVB9PdI9_jw0CNi_OPg,San Francisco,CA,German,37.7762603759766,-122.426391601562,$$,3092,4.0
189,Philz Coffee,akXf1BdFZjQb2fO8Ca7FtA,San Francisco,CA,Coffee & Tea,37.752397102831,-122.41426366546,$,1665,4.5
